ACC_NO,timeslot_15min,traveldelay_15min_sum,ACC_DATE,ACC_TIME,hour,SEVERITY,day_of_week,daytype,peakhours,IN_20M_JCN,WEATHER,RAIN,ST_LGT,NO_VEH,NO_CSU,collision,psn_distance,fs_distance,am_depot_distance,hos_distance,AADT,PedestrianExposure,ST_LGT_good,Region,FRC_string,SPEED,KPH,edge_degree,AMD,AQU,BGD,BUS,CMF,COM,CUF,GOV,HNC,MUF,PAK,REM,RSF,SCH,TRF,TRH,TRS,UTI,food,heavey_involve,roadwork
5819,traveldelay_15min_t1,0.5693134335953824,2021-05-05,112,1,Slight,Wednesday,weekday,non-peak,Yes,Clear,Not raining,Good,3,3,vehicle-vehicle,852.7298428299353,815.0601876361806,820.3952712648611,904.5409394805404,46710.23598992121,0.0,good,KL,Main,70.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5819,traveldelay_15min_t2,0.1263676508477277,2021-05-05,112,1,Slight,Wednesday,weekday,non-peak,Yes,Clear,Not raining,Good,3,3,vehicle-vehicle,852.7298428299353,815.0601876361806,820.3952712648611,904.5409394805404,46710.23598992121,0.0,good,KL,Main,70.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5819,traveldelay_15min_t3,0.9125450538122344,2021-05-05,112,1,Slight,Wednesday,weekday,non-peak,Yes,Clear,Not raining,Good,3,3,vehicle-vehicle,852.7298428299353,815.0601876361806,820.3952712648611,904.5409394805404,46710.23598992121,0.0,good,KL,Main,70.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5819,traveldelay_15min_t4,0.7071359641191914,2021-05-05,112,1,Slight,Wednesday,weekday,non-peak,Yes,Clear,Not raining,Good,3,3,vehicle-vehicle,852.7298428299353,815.0601876361806,820.3952712648611,904.5409394805404,46710.23598992121,0.0,good,KL,Main,70.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5824,traveldelay_15min_t1,11.037108567424609,2021-05-05,805,8,Slight,Wednesday,weekday,peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,376.5616919253894,541.1522782946598,1136.1737981164445,2817.971896517201,18079.32419377238,807.555765484,bad,HKI,Main,70.0,120,4.809912267200247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,n,0.0
5824,traveldelay_15min_t2,29.53046551146091,2021-05-05,805,8,Slight,Wednesday,weekday,peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,376.5616919253894,541.1522782946598,1136.1737981164445,2817.971896517201,18079.32419377238,807.555765484,bad,HKI,Main,70.0,120,4.809912267200247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,n,0.0
5824,traveldelay_15min_t3,27.51067130008448,2021-05-05,805,8,Slight,Wednesday,weekday,peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,376.5616919253894,541.1522782946598,1136.1737981164445,2817.971896517201,18079.32419377238,807.555765484,bad,HKI,Main,70.0,120,4.809912267200247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,n,0.0
5824,traveldelay_15min_t4,28.243842787173925,2021-05-05,805,8,Slight,Wednesday,weekday,peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,376.5616919253894,541.1522782946598,1136.1737981164445,2817.971896517201,18079.32419377238,807.555765484,bad,HKI,Main,70.0,120,4.809912267200247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,n,0.0
5829,traveldelay_15min_t1,0.9252807450261366,2021-05-05,1033,10,Slight,Wednesday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1241.6703507777845,746.5387230654756,743.0278436811801,1917.2345320618865,56694.28027820858,200.70623852,bad,HKI,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5829,traveldelay_15min_t2,1.516141078151409,2021-05-05,1033,10,Slight,Wednesday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1241.6703507777845,746.5387230654756,743.0278436811801,1917.2345320618865,56694.28027820858,200.70623852,bad,HKI,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5829,traveldelay_15min_t3,0.7461933216727616,2021-05-05,1033,10,Slight,Wednesday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1241.6703507777845,746.5387230654756,743.0278436811801,1917.2345320618865,56694.28027820858,200.70623852,bad,HKI,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5829,traveldelay_15min_t4,4.343761536267921,2021-05-05,1033,10,Slight,Wednesday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1241.6703507777845,746.5387230654756,743.0278436811801,1917.2345320618865,56694.28027820858,200.70623852,bad,HKI,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5890,traveldelay_15min_t1,4.195002393831661,2021-05-06,1641,16,Slight,Thursday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1627.0939516600042,378.7052896197254,930.3304068722596,648.618155295857,23459.79770159564,3402.95251363824,bad,HKI,Secondary,50.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,n,0.0
5890,traveldelay_15min_t2,23.21779512479868,2021-05-06,1641,16,Slight,Thursday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1627.0939516600042,378.7052896197254,930.3304068722596,648.618155295857,23459.79770159564,3402.95251363824,bad,HKI,Secondary,50.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,n,0.0
5890,traveldelay_15min_t3,13.193541634823356,2021-05-06,1641,16,Slight,Thursday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1627.0939516600042,378.7052896197254,930.3304068722596,648.618155295857,23459.79770159564,3402.95251363824,bad,HKI,Secondary,50.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,n,0.0
5890,traveldelay_15min_t4,25.1750092879298,2021-05-06,1641,16,Slight,Thursday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,1627.0939516600042,378.7052896197254,930.3304068722596,648.618155295857,23459.79770159564,3402.95251363824,bad,HKI,Secondary,50.0,60,3.847929813760197e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,n,0.0
5897,traveldelay_15min_t1,0.3151665367436442,2021-05-06,1920,19,Slight,Thursday,weekday,peak,No,Clear,Not raining,Good,2,1,vehicle-vehicle,1096.0403863869226,928.5761936199484,560.6898902825056,1071.418896106496,92033.52011755528,2317.4946348548,good,NT,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5897,traveldelay_15min_t2,0.0,2021-05-06,1920,19,Slight,Thursday,weekday,peak,No,Clear,Not raining,Good,2,1,vehicle-vehicle,1096.0403863869226,928.5761936199484,560.6898902825056,1071.418896106496,92033.52011755528,2317.4946348548,good,NT,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5897,traveldelay_15min_t3,0.0,2021-05-06,1920,19,Slight,Thursday,weekday,peak,No,Clear,Not raining,Good,2,1,vehicle-vehicle,1096.0403863869226,928.5761936199484,560.6898902825056,1071.418896106496,92033.52011755528,2317.4946348548,good,NT,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5897,traveldelay_15min_t4,0.0944976400315202,2021-05-06,1920,19,Slight,Thursday,weekday,peak,No,Clear,Not raining,Good,2,1,vehicle-vehicle,1096.0403863869226,928.5761936199484,560.6898902825056,1071.418896106496,92033.52011755528,2317.4946348548,good,NT,Main,70.0,120,3.847929813760197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5907,traveldelay_15min_t1,1.2069940380056576,2021-05-07,822,8,Slight,Friday,weekday,peak,No,Clear,Not raining,Daylight,2,1,vehicle-vehicle,698.0410131952218,432.8297871568026,464.90216788973305,507.1392525443599,24414.9192361954,0.0,good,KL,Secondary,70.0,60,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5907,traveldelay_15min_t2,8.554792061615013,2021-05-07,822,8,Slight,Friday,weekday,peak,No,Clear,Not raining,Daylight,2,1,vehicle-vehicle,698.0410131952218,432.8297871568026,464.90216788973305,507.1392525443599,24414.9192361954,0.0,good,KL,Secondary,70.0,60,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5907,traveldelay_15min_t3,8.506447282417085,2021-05-07,822,8,Slight,Friday,weekday,peak,No,Clear,Not raining,Daylight,2,1,vehicle-vehicle,698.0410131952218,432.8297871568026,464.90216788973305,507.1392525443599,24414.9192361954,0.0,good,KL,Secondary,70.0,60,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5907,traveldelay_15min_t4,5.623596965646551,2021-05-07,822,8,Slight,Friday,weekday,peak,No,Clear,Not raining,Daylight,2,1,vehicle-vehicle,698.0410131952218,432.8297871568026,464.90216788973305,507.1392525443599,24414.9192361954,0.0,good,KL,Secondary,70.0,60,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n,0.0
5912,traveldelay_15min_t1,28.78293937325826,2021-05-07,1014,10,Slight,Friday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,294.993650141038,683.9588092162085,647.5008111916553,616.6014300969002,10277.31649129352,8075.24115989753,bad,KL,Minor,50.0,35,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,n,0.0
5912,traveldelay_15min_t2,21.57630379214531,2021-05-07,1014,10,Slight,Friday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,294.993650141038,683.9588092162085,647.5008111916553,616.6014300969002,10277.31649129352,8075.24115989753,bad,KL,Minor,50.0,35,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,n,0.0
5912,traveldelay_15min_t3,9.733796151008256,2021-05-07,1014,10,Slight,Friday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,vehicle-vehicle,294.993650141038,683.9588092162085,647.5008111916553,616.6014300969002,10277.31649129352,8075.24115989753,bad,KL,Minor,50.0,35,5.771894720640296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,n,0.0
