ACC_NO,traveldelay_15min_sum,traveldelay_15min_mean,affected_segments_nunique,SEG_ID_crash_x,ACC_DATE,ACC_TIME,hour,SEVERITY,day_of_week,daytype,peakhours,IN_20M_JCN,WEATHER,RAIN,ST_LGT,NO_VEH,NO_CSU,POLDIV,collision,heavy_ct,psn_distance,fs_distance,am_depot_distance,hos_distance,AADT,PedestrianExposure,SEVERITY_2type,NO_VEH_2type,ST_LGT_good,Region,FRC,FRC_string,SPEED,KPH,edge_degree,SEG_ID_crash_y,ID,AMD,AQU,BGD,BUS,CMF,COM,CUF,GOV,HNC,MUF,PAK,REM,RSF,SCH,TRF,TRH,TRS,UTI,food,traveldelay_15min_sum_perseg,heavey_involve,roadwork
5819,2.3153621023745354,0.08269150365623341,7,_13440001350982201,2021-05-05,112,1,Slight,Wednesday,weekday,non-peak,Yes,Clear,Not raining,Good,3,3,KC,vehicle-vehicle,0,852.7298428299353,815.0601876361806,820.3952712648611,904.5409394805404,46710.23598992121,0.0,Slight,equalorhigherthan2,good,KL,2,Main,70.0,60,3.847929813760197e-05,_13440001350982201,13440001350982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33076601462493366,n,0.0
5824,96.32208816614393,2.0067101701279983,18,_13440001306247202,2021-05-05,805,8,Slight,Wednesday,weekday,peak,No,Clear,Not raining,Not lit,2,1,CW,vehicle-vehicle,0,376.5616919253894,541.1522782946598,1136.1737981164445,2817.971896517201,18079.32419377238,807.555765484,Slight,equalorhigherthan2,bad,HKI,0,Main,70.0,120,4.809912267200247e-05,_13440001306247202,13440001306247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.3512271203413295,n,0.0
5829,7.531376681118228,0.2215110788564185,9,_13440001359928202,2021-05-05,1033,10,Slight,Wednesday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,NP,vehicle-vehicle,0,1241.6703507777845,746.5387230654756,743.0278436811801,1917.2345320618865,56694.28027820858,200.70623852,Slight,equalorhigherthan2,bad,HKI,0,Main,70.0,120,3.847929813760197e-05,_13440001359928202,13440001359928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8368196312353587,n,0.0
5890,65.78134844138349,0.49834354879835974,48,_13440003320519200,2021-05-06,1641,16,Slight,Thursday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,WCH,vehicle-vehicle,0,1627.0939516600042,378.7052896197254,930.3304068722596,648.618155295857,23459.79770159564,3402.95251363824,Slight,equalorhigherthan2,bad,HKI,3,Secondary,50.0,60,3.847929813760197e-05,_13440003320519200,13440003320519,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3704447591954894,n,0.0
5897,0.4096641767751644,0.011704690765004697,9,_13440001392583203,2021-05-06,1920,19,Slight,Thursday,weekday,peak,No,Clear,Not raining,Good,2,1,TY,vehicle-vehicle,0,1096.0403863869226,928.5761936199484,560.6898902825056,1071.418896106496,92033.52011755528,2317.4946348548,Slight,equalorhigherthan2,good,NT,0,Main,70.0,120,3.847929813760197e-05,_13440001392583203,13440001392583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045518241863907155,n,0.0
5907,23.891830347684305,0.7466196983651345,8,_13440001348454201,2021-05-07,822,8,Slight,Friday,weekday,peak,No,Clear,Not raining,Daylight,2,1,KC,vehicle-vehicle,0,698.0410131952218,432.8297871568026,464.90216788973305,507.1392525443599,24414.919236195397,0.0,Slight,equalorhigherthan2,good,KL,3,Secondary,70.0,60,5.771894720640296e-05,_13440001348454201,13440001348454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.986478793460538,n,0.0
5912,64.11296633221579,0.4612443621022719,49,_13440001374429202,2021-05-07,1014,10,Slight,Friday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,WTS,vehicle-vehicle,0,294.993650141038,683.9588092162085,647.5008111916553,616.6014300969002,10277.31649129352,8075.24115989753,Slight,equalorhigherthan2,bad,KL,7,Minor,50.0,35,5.771894720640296e-05,_13440001374429202,13440001374429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.3084278843309345,n,0.0
5915,119.44525632689847,0.807062542749314,72,_13440001384742202,2021-05-07,1230,12,Slight,Friday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,C,vehicle-vehicle,1,295.26534722042896,351.11515341505753,2194.5845806695847,294.3237292959625,3343.2482734151586,892.219412214,Slight,equalorhigherthan2,bad,HKI,6,Local,50.0,35,3.847929813760197e-05,_13440001384742202,13440001384742,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6589618934291455,y,0.0
5920,72.8095500058853,0.5021348276267952,47,_13440001400672200,2021-05-07,1405,14,Slight,Friday,weekday,non-peak,No,Clear,Not raining,Not lit,2,1,W,vehicle-vehicle,0,1157.1890640757022,475.8959435715556,336.2457554552969,1194.6166813694258,28383.789182881035,338.87205452,Slight,equalorhigherthan2,bad,HKI,2,Main,50.0,60,5.771894720640296e-05,_13440001400672200,13440001400672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5491393618273468,n,0.0
5951,70.31574494704478,0.3842390434264742,61,_13440001507802200,2021-05-08,945,9,Slight,Saturday,weekend,peak,Yes,Clear,Not raining,Good,2,1,SSPO,single-vehicle,0,523.1289178095977,754.6762125284474,686.9403211222963,96.5220086566072,33637.82948744398,7818.05736194292,Slight,equalorhigherthan2,good,KL,5,Local,50.0,65,6.733877174080345e-05,_13440001507802200,13440001507802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1527171302794226,n,0.0
